trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
61,False,"{'a': 0.5, 'e': 0.5488116360940265}",30,2,-112.19636248722483,"{0: 20, 1: 0, 2: 6, 3: 0, 4: 2}",1
62,False,"{'a': 0.5, 'e': 0.5433508690744998}",25,11,-85.92080927146257,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 2}",1
63,False,"{'a': 0.5, 'e': 0.5379444375946745}",20,0,-15.190280579760282,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.5325918010068972}",30,9,-68.00274209881742,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 2}",1
65,False,"{'a': 0.5, 'e': 0.5272924240430485}",25,7,-48.042964384228924,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.522045776761016}",20,0,-60.2020499227378,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.5168513344916993}",30,0,-51.53210991320162,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.5117085777865424}",25,11,-57.25930138092688,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
69,False,"{'a': 0.5, 'e': 0.5066169923655897}",25,0,-21.068336677375946,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.5015760690660556}",30,0,-60.31864831880669,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",1
71,False,"{'a': 0.5, 'e': 0.4965853037914095}",20,0,-100.23158523833831,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.49164419746096516}",20,6,-28.238795980873448,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.4867522559599717}",35,12,-46.14956436904847,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.48190899009020244}",20,11,-13.476353143631329,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.47711391552103444}",20,3,-47.5219677660511,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.47236655274101474}",20,0,-25.759970059661867,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.46766642700990924}",25,5,-60.012920954353106,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.46301306831122807}",30,7,-7.587428019811364,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.45840601130522357}",20,4,-8.078054906968616,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.45384479528235583}",30,13,-41.55111568459371,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,14,7.062865127950001,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.4448580662229411}",20,3,-48.41075070719197,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
